puntos,p_avanzar,freq_global,p_avanzar_si_3ro,casos_3ro
0,0.0,0.0968825,,0
1,0.00013089591363625404,0.12096125,0.0009391063661526295,40464
2,0.05636584281180984,0.05527875,0.06015141259933318,79782
3,0.5923566534097524,0.15390291666666667,0.7039952592675709,285188
4,0.9961724606965489,0.158065,0.9990283346549471,179074
5,1.0,0.0540825,1.0,2504
6,1.0,0.1430025,1.0,12988
7,1.0,0.11895375,,0
9,1.0,0.09887083333333334,,0
